filename	caption	second positive	negative_caption
000000460347.jpg	A white with red striped bus drives down the slow lane on a freeway surrounded by several other cars.	A white bus with red stripes drives in the slow lane on the freeway surrounded by various other cars.	A white with red striped bus is stuck in the slow lane on a freeway surrounded by several other cars.
000000322864.jpg	A picture of an animal is on a pole and next to it is a yellow taxi.	Next to the pole with the picture of an animal is a yellow taxi.	A picture of an animal is behind a pole and next to it is a yellow taxi.
000000301867.jpg	There are people that are laughing under the umbrella.	People are laughing under the umbrella.	There are people that are laughing next to the umbrella.
000000180135.jpg	A person holding a skate board is speaking into a microphone.	The person is speaking into the microphone while holding a skateboard.	A person riding a skate board is speaking into a microphone.
000000096493.jpg	A child sitting on top of a couch under a pink blanket.	A child sits on a couch, a pink blanket spread over him.	A child laying on top of a couch under a pink blanket.
000000550426.jpg	A tall vase with red and white tulips in water.	A tall vase contains red and white tulips, submerged in water.	A tall vase with red and white tulips next to a bowl of water.
000000555412.jpg	A pizza covered in lots of greens on top of a table.	A table has a pizza on top of it covered in lots of greens.	A pizza covered in lots of greens next to a table.
000000398237.jpg	A small child playing with some toys in a field.	A little kid engaging with toys amidst a field.	A small child playing with some toys next to a field.
000000189828.jpg	Aerial view of an airplane ascending in to the sky.	An overhead perspective captures an airplane rising into the sky	Aerial view of an airplane ascending out of the sky.
000000291490.jpg	A cat laying down on a blue comforter with pink sheets.	A cat reclines on a blue comforter accompanied by pink sheets.	A cat sitting on a blue comforter with pink sheets.
000000034139.jpg	Two people posing next to a giant suitcase in front of a building.	Two individuals are striking a pose positioned alongside a massive suitcase in front of a building.	Two people carrying a giant suitcase in front of a building.
000000456303.jpg	A person doing a trick upside down on their snow board.	The snowboarder is performing a trick in an inverted position.	A person is watching a trick being done upside down on their snow board.
000000448076.jpg	A group of people wait in a red reception area.	Several individuals are waiting in a reception area adorned in red.	A group of people are leaving a red reception area.
000000117645.jpg	A person riding a snowboard down a snow covered slope.	An individual snowboarding down a snow-covered slope.	A person is falling off a snowboard on a snow covered slope.
000000021167.jpg	A person standing next to a person in a gray dress.	The person in the gray dress stands next to a person.	A person sitting next to a person in a gray dress.
000000286553.jpg	A copse of people sitting next to each other at a table.	A group of individuals sit beside each other at a table.	A copse of people sitting across from each other at a table.
000000101762.jpg	A kitten is walking next to a parked bike inside.	A young cat is strolling beside a parked bike indoors.	A kitten is running next to a parked bike inside.
000000205647.jpg	A delivery truck travels along the road by a hill side.	A delivery truck moves along the road adjacent to a hillside.	A delivery truck travels along the road over a hill side.
000000307658.jpg	A brown fuzzy bear standing in front of a leaf filled tree.	A frizzy brown bear stands before a tree filled with leaves.	A brown fuzzy bear standing behind a leaf filled tree.
000000069106.jpg	A group of zebras stand together by a rock wall.	A herd of zebras gather near a rocky wall.	A group of zebras are lying down together by a rock wall.
000000352584.jpg	The toilet is covered in sparkles with a red object in front of it.	The red object is positioned in front of the toilet which is adorned with sparkles.	The toilet is covered in sparkles with a red object behind it.
000000411665.jpg	A kitten is looking into a mirror and touching the mirror with one paw.	A young cat gazes into a mirror and reaching out with one paw to touch the mirror.	A kitten is sleeping next to a mirror and touching the mirror with one paw.
000000454750.jpg	A Zebra is resting its head on the back of another Zebra.	One Zebra is leaning its head on the back of another Zebra.	A Zebra is running next to another Zebra.
000000023034.jpg	A person riding on the back of a brown horse.	An individual is mounted on the back of a chestnut-colored horse.	A person is patting a brown horse.
000000236914.jpg	Two teddy bears at a table with honey	Couple of teddy bears are positioned at a table with honey.	Two teddy bears are under a table with honey.
000000206411.jpg	A hand holding a spraying hose to a toilet bowl in a small toilet stall.	A person holds a spraying hose near to a restroom stall's toilet bowl.	A hand holding a spraying hose away from a toilet bowl in a small toilet stall.
000000472375.jpg	A German Shepherd dog wearing a helmet sitting by a motor cycle.	Next to a motorcycle sits a German Shepherd dog wearing a helmet.	A German Shepherd dog wearing a helmet lying on a motor cycle.
000000459467.jpg	A small wheeled airplane on an open runway.	A small wheeled airplane is located on a clear runway.	A small wheeled airplane is flying over an open runway.
000000485895.jpg	A small giraffe stands in the grass near a road.	A petite giraffe stands in the grass close to a road.	A small giraffe is lying in the grass near a road.
000000561366.jpg	There is a phone on top of a calculator	A calculator lies beneath the phone.	There is a phone next to a calculator.
000000213035.jpg	Two people holding smart phones next to each other.	Couple of individuals stand next to each other holding smartphones.	Two people holding smart phones facing away from each other.
000000025393.jpg	A couple of people in ties are outside	Two individuals wearing ties are outdoors.	A couple of people in ties are inside.
000000185890.jpg	Two people are playing a Wii game at a banquet hall.	Two individuals are engaged in a Wii game within a banquet hall.	Two people are playing a Wii game behind a banquet hall.
