image	sent1	sent2	Best reference (Semantically close)	Reference-2 (Completely irrelevant)
000000318723.jpg	The backpack contains the cat.	The cat is in the backpack.	The cat is outside the backpack.	The oven contains the pizza
000000318723.jpg	The backpack contains the cat.	The cat is within the backpack.	The cat and backpack are far apart.	The oven contains the pizza
000000537372.jpg	The cat is on the bed.	The bed is beneath the cat.	The cat is under the bed.	The pizza is on the oven.
000000279829.jpg	The cat is in the sink.	The sink is beneath the cat.	The cat is outside the sink.	The cow is in the truck.
000000279829.jpg	The cat is in the sink.	The sink contains the cat.	The cat is outside the sink.	The truck contains the cow.
000000180479.jpg	The oven is below the pizza.	The pizza is on top of the oven.	The pizza is in the oven.	The book is on top of the table.
000000215845.jpg	The dining table is close to the truck.	The truck is near the dining table.	The dining table is far away from the truck.	The tree is near the river.
000000431060.jpg	The cat is on top of the toilet.	The toilet is beneath the cat.	The cat is not on top of the toilet.	The book is on top of the table.
000000290201.jpg	The sandwich is under the umbrella.	The umbrella is over the sandwich.	The sandwich is not below the umbrella.	The boat is under the bridge.
000000174496.jpg	The pizza is in the toaster.	The toaster contains the pizza.	The pizza is outside the toaster.	The book contains the relevant chapters.
000000174496.jpg	The pizza is inside the toaster.	The pizza is within the toaster.	The pizza is outside the toaster.	The book contains the relevant chapters.
000000539406.jpg	The cow is on the truck.	The truck contains the cow.	The cow is outside the truck.	The book contains the relevant chapters.
000000539406.jpg	The cow is inside the truck.	The truck contains the cow.	The cow is outside the truck.	The book contains the relevant chapters.
000000539406.jpg	The cow is in the truck.	The truck contains the cow.	The cow is outside the truck.	The book contains the relevant chapters.
000000356648.jpg	The bench is at the right side of the refrigerator.	The refrigerator is at the left side of the bench.	The bench is at the left side of the refrigerator.	The table is on the right side of the bed.
000000001536.jpg	The oven is below the pizza.	The pizza is on the oven.	The pizza is in the oven.	The car is out of the garage.
000000155604.jpg	The oven contains the pizza.	The pizza is in the oven.	The pizza is outside the over.	The toys are in the box.
000000253004.jpg	The laptop is under the book	The book is on top of the laptop.	The laptop is inside the book.	The boat is under the bridge.
000000253004.jpg	The laptop is under the book	The book is on the laptop.	The laptop is on the book.	The boat is under the bridge.
000000046306.jpg	The bed consists of the car.	The car is part of the bed.	The bed is in the car.	The installation is part of the museum.
000000153259.jpg	The cake is on the teddy bear.	The teddy bear is below the cake.	The cake is beneath the teddy bear.	The phone is on the dashboard.
000000504158.jpg	The bear is next to the cat.	The cat is next to the bear.	The bear is far from the cat.	The banana is next to mango.
000000357537.jpg	The couch is on top of the truck.	The truck is beneath the couch.	The couch is outside the truck.	The climber is on top of the mountain.
000000357537.jpg	The couch is on the truck.	The truck is beneath the couch.	The couch is outside the truck.	The cow is on the truck.
000000364722.jpg	The dining table is touching the teddy bear.	The teddy bear is touching the dining table.	The dining table is far from the teddy bear.	The dog is touching the cat.
000000107881.jpg	The dog is at the left side of the motorcycle.	The motorcycle is at the right side of the dog.	The dog is at the right side of the motorcycle.	The hot dog is at the left side of the bottle.
000000107881.jpg	The dog is beside the motorcycle.	The motorcycle is near the dog.	The dog is far from the motorcycle.	The tree is by the river.
000000240653.jpg	The bench is beneath the dog.	The dog is on top of the bench.	The bench is above the dog.	The dog is touching the cat.
000000238217.jpg	The bicycle is below the pizza.	The pizza is above the bicycle.	The bycycle is far from the pizza.	The puppy is below the tree.
000000313520.jpg	The chair is above the dog.	The dog is under the chair.	The dog is away from the chair.	The boat is under the bridge.
000000313520.jpg	The chair is over the dog.	The dog is under the chair.	The chair is under the dog.	The boat is under the bridge.
000000307172.jpg	The person is touching the pizza.	The pizza is touching the person.	The person is away from the pizza.	The bench is touching the dog.
000000033372.jpg	The cake is beneath the teddy bear.	The teddy bear is on top of the cake.	The teddy bear is not on the cake.	The small boy is below the big boy.
000000033372.jpg	The cake is below the teddy bear.	The teddy bear is on the cake.	The teddy bear is below the cake.	The leaves are part of the tree.
000000033372.jpg	The cake is under the teddy bear.	The teddy bear is on the cake.	The cake is above the teddy bear.	The small boy is below the big boy.
000000168317.jpg	The dog is in front of the motorcycle.	The motorcycle is behind the dog.	The dog is on the motorcycle.	The small boy is below the big boy.
000000505286.jpg	The cat is on the keyboard.	The keyboard is beneath the cat.	The cat is away from the keyboard.	The ground floor is beneath the first floor.
000000159504.jpg	The cow is facing the person.	The person is facing the cow.	The cow is at the back of the person.	The flame is touching the pan.
000000305923.jpg	The bicycle is behind the teddy bear.	The teddy bear is in front of the bicycle.	The bicycle is under the teddy bear.	The tree is by the river.
000000305923.jpg	The bicycle is behind the teddy bear.	The teddy bear is against the bicycle.	The bicycle is under the teddy bear.	The blackboard is behind the teacher.
000000384826.jpg	The banana is touching the sandwich.	The sandwich is touching the banana.	The banana is away from the sandwich.	The flame is touching the pan.
000000384826.jpg	The banana is on the sandwich.	The sandwich is below the banana.	The banana is far from the sandwich.	The flame is touching the pan.
000000384826.jpg	The banana is beside the sandwich.	The sandwich is beside the banana.	The banana is inside the sandwich.	The birds are flying above the barn.
000000246831.jpg	The fire hydrant is far from the teddy bear.	The teddy bear and the fire hydrant are far apart.	The teddy bear is touching the fire hydrant.	The garbade can is near the entrance.
000000114710.jpg	The person is in front of the sheep.	The sheep is behind the person.	The sheep is ahead of the person.	The projector is behind the audience.
000000114710.jpg	The person is in right of the sheep.	The sheep is left of the person.	The sheep is in right of the person.	The cupboard is left of the mirror.
000000535013.jpg	The banana is at the left side of the donut.	The donut is right of the banana.	The banana is at the right side of the donut.	The tree on the right side of the car.
000000496636.jpg	The person is at the right side of the sheep.	The sheep is at the left side of the person.	The sheep is at the right side of the person.	The flame is touching the pan.
000000496636.jpg	The person is touching the sheep.	The sheep is alongside the person.	The person is away from the sheep.	The grass is touching the elephant.
000000363793.jpg	The sheep is on the grass.	The grass is below the sheep..	The sheep is away from the grass.	The leaves are part of the tree.
000000537382.jpg	The banana is beneath the sandwich.	The sandwich is on the banana.	The banana is far from sandwich.	The oven is beneath the pizza.
000000537382.jpg	The banana is alongside the sandwich.	The sandwich is touching the banana.	The banana is far away from the sandwich.	The oven is beneath the pizza.
000000537382.jpg	The banana is beneath the sandwich.	The sandwich is on top of the banana.	The banana is above the sandwich.	The oven is beneath the pizza.
000000522288.jpg	The dog is facing the wine glass.	The wine glass is facing the dog.	The dog is not facing the wine glass.	The dog is facing away from the laptop.
